,CategorySales,PRICEBRAND1,PRICEBRAND2,PRICEBRAND3,display_brand1,display_brand2,display_brand3,FEATUREBRAND1,FEATUREBRAND2,FEATUREBRAND3,RETAILERMARGINBRAND1,RETAILERMARGINBRAND2,RETAILERMARGINBRAND3,SALESBRAND1,SALESBRAND2,SALESBRAND3,WHOLESALEPRICE1,WHOLESALEPRICE2,WHOLESALEPRICE3,UNITSBRAND1,UNITSBRAND2,UNITSBRAND3,log_CategorySales,log_PRICEBRAND1,log_PRICEBRAND2,log_PRICEBRAND3,log_display_brand1,log_display_brand2,log_display_brand3,log_FEATUREBRAND1,log_FEATUREBRAND2,log_FEATUREBRAND3,log_RETAILERMARGINBRAND1,log_RETAILERMARGINBRAND2,log_RETAILERMARGINBRAND3,log_SALESBRAND1,log_SALESBRAND2,log_SALESBRAND3,log_WHOLESALEPRICE1,log_WHOLESALEPRICE2,log_WHOLESALEPRICE3,log_UNITSBRAND1,log_UNITSBRAND2,log_UNITSBRAND3,August,December,February,January,July,June,March,May,November,October,September,binary_FEATUREBRAND1,binary_FEATUREBRAND2,binary_FEATUREBRAND3
1989-06-04,62929.477667,5.00562327,4.56293555401736,4.293051169,0.0,0.124,0.092,0.0,0.0,0.0,0.120878077982,0.136303843668,0.15603572,24321.6,27790.157667,10817.72,4.01137667429,4.3233375787,3.623181839,4858,6090,2519,11.049785866941878,1.7926962419860797,1.7161259462727467,1.6663948601255518,0.0,0.11689375147149943,0.08801087732271337,0.0,0.0,0.0,0.11411237633916467,0.12778075255337185,0.1449966694267805,10.099161238260598,10.232473179551512,9.28903324595707,1.611710662637636,1.6721004710600589,1.5310831777821876,8.488587934405903,8.714567550836485,7.832014180505469,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1989-06-11,70907.531666,4.759082469,4.66633805330315,4.342844494,0.234,0.075,0.089,0.0,0.0,0.0,0.135089757524,0.0893543292237,0.157650436,33005.983333,26466.924333,11434.624,4.03596357716,4.33383784719,3.658193165,6935,5671,2632,11.169146039074764,1.7507781684428418,1.7345430631130252,1.6757581879292156,0.21026092548319605,0.07232066157962608,0.0852598439508234,0.0,0.0,0.0,0.12671172932553024,0.08558516221706823,0.14639246484005877,10.404474434212593,10.183688876317225,9.344488674272798,1.6166048836619034,1.6740710254458442,1.538627640117126,8.844480518460378,8.643297068211963,7.87587915949631,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1989-06-18,67031.204999,4.630858341,4.77068378993407,4.91331714,0.256,0.119,0.044,0.0,0.0,0.0,0.119914922199,0.0813131461036,0.123846448,34129.983333,26000.576333,6900.645333,4.19860761443,4.25430867997,4.304820265,7370,5450,1404,11.112928454514368,1.7282618889679375,1.752790581286049,1.7772069497653804,0.22793206804600694,0.11243542932978817,0.04305948946044701,0.0,0.0,0.0,0.11325272009939834,0.0781761785793494,0.11675713003957247,10.43796085288331,10.165912443358112,8.839515116217672,1.6483908232757742,1.659048440959325,1.6686158911903939,8.905308661189288,8.603554357064281,7.247792581767846,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1989-06-25,83289.667166,4.222039853,4.26646413204571,4.934866352,0.105,0.12,0.016,0.0,0.0,0.0,0.129831383868,0.16625499167,0.131853666,41453.75,35708.431833,6127.485333,3.71254318956,3.52010465247,4.284186132,9818,8369,1241,11.330091783054586,1.6528881019981028,1.6613591946846749,1.7808445091897178,0.09984533496971612,0.11332868530700327,0.015873349156290163,0.0,0.0,0.0,0.12206840377423415,0.15379775327315082,0.12385670110684233,10.632357749896507,10.48317012987665,8.72070290753368,1.5502277176255004,1.508535146777436,1.6647186116263493,9.19207456316929,9.032409163483521,7.124478262493424,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1989-07-02,122057.548834,4.105198937,4.10339426296704,4.905152652,0.18,0.092,0.0,0.0,0.0,0.0,0.133630321711,0.124810335111,0.130308377,67620.016667,46842.7935,7594.738667,3.5550563675,3.59282768195,4.265970173,16471,11415,1548,11.712256117071561,1.6302594199073062,1.6299058601138245,1.7758253006276332,0.16551443847757333,0.08801087732271337,0.0,0.0,0.0,0.0,0.12542515719380634,0.11761443043087672,0.12249049549381748,11.12167411115329,10.754573802903657,8.935342667311907,1.5162379054981419,1.5244958871022989,1.6612653969866753,9.709417248707625,9.342771159156673,7.3453648404168685,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1989-07-09,79422.435333,4.630080351,4.72770611462915,4.437781727,0.141,0.082,0.059,0.0,0.005,0.0,0.146245857354,0.0858007042905,0.153910336,41049.033333,28123.13,10250.272,4.03629868058,4.23281619571,3.75476125,8865,5948,2309,11.282548759012919,1.7281237139858128,1.7453151215385352,1.6933712069346833,0.1319050708799386,0.07881118042428985,0.05732506661926935,0.0,0.004987541511038968,0.0,0.1364921304960743,0.08231769112641352,0.1431564666270197,10.622546926889989,10.244383205694943,9.235157074428065,1.6166714235139341,1.6549496026971502,1.559146484431832,9.089979015305,8.690978417187905,7.745002803515839,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1989-07-16,60767.206834,5.010508567,4.36386087214354,4.920926053,0.0,0.115,0.0,0.0,0.0,0.0,0.117736500957,0.138321332133,0.134765282,24631.366667,29716.1575,6419.682667,3.8500751624,4.31744834753,4.257756068,4915,6809,1304,11.014822017272623,1.7935093651001461,1.6796840277496345,1.7784928645339722,0.0,0.10885440491208208,0.0,0.0,0.0,0.0,0.11130565908027366,0.12955466151693046,0.12642582954729756,10.111816575292504,10.299479851592771,8.767279725454578,1.57899420223137,1.6709935543694778,1.6597043326868284,8.500250470685925,8.826147399143558,7.173958319756794,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1989-07-23,74765.5915,4.483190119,4.34914413878012,4.970656312,0.108,0.097,0.0,0.0,0.0,0.0,0.129924888828,0.146090658352,0.140024821,34437.516667,34175.4295,6152.645333,3.78408207005,3.82823792314,4.274641053,7681,7857,1237,11.222126426489707,1.7016870700866857,1.6769365740509097,1.7868568563704756,0.10255658832509215,0.09257918129309317,0.0,0.0,0.0,0.0,0.12215116045129981,0.13635672367323337,0.13105003497639744,10.446930887550247,10.439291489539588,8.724799922274501,1.5652941716119693,1.5744815818760853,1.6629106302221954,8.94663520890585,8.969287400118406,7.121252453244542,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1989-07-30,73463.8899989999,4.387120347,4.43949370749129,4.847054629,0.135,0.0709999999999999,0.075,0.0,0.0,0.0,0.13247473827,0.122037181368,0.116985885,36739.483333,30824.241333,5900.165333,3.85137294054,3.85172854589,4.280017651,8374,6943,1217,11.204562883983668,1.6840109837124542,1.6936859880608461,1.7659380522318093,0.126632650933366,0.06859279146561167,0.07232066157962608,0.0,0.0,0.0,0.12440527196291047,0.11514594502559068,0.11063388348081211,10.51163451418068,10.336089157134095,8.682905124458273,1.5792617454133717,1.5793350426679982,1.6639294407050065,9.033006356693267,8.845633256340186,7.1049654482698426,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1989-08-06,66375.3953329999,4.396502486,4.43851789046316,4.847156716,0.159,0.029,0.045,0.0,0.0,0.0,0.137951719469,0.122272475271,0.117102175,36001.166667,24284.767333,6089.461333,3.82621671558,3.85893124449,4.279544123,8188,5471,1256,11.103096780289382,1.68575105595211,1.6935065771414957,1.7659555116392018,0.1475575643576147,0.028587456851912472,0.04401688541677426,0.0,0.0,0.0,0.12922990902997544,0.11535562545285809,0.1107379885984099,10.491334400821636,10.0976457512747,8.714479110380019,1.5740628720338072,1.5808185051878214,1.6638397536497191,9.010547069270189,8.607399459302387,7.136483208590247,1,0,0,0,0,0,0,0,0,0,0,0,0,0
